"Recipe Name";"Type of Dish";"Main Ingredient";"Cuisine";"Cooking Method";"Prep Time";"Cook Time";"Instructions"
"Spaghetti Bolognese";"Main Course";"Beef";"Italian";"Simmering";"10 minutes";"40 minutes";"Heat olive oil in a large pan over medium heat. Add finely chopped onions, carrots, and celery. Cook for 5-7 minutes until softened. Add minced beef and cook until browned. Pour in canned tomatoes, beef broth, and Italian herbs. Simmer uncovered for 30-40 minutes. Stir occasionally and season with salt and pepper. Serve over cooked spaghetti and garnish with fresh basil."
"Chicken Curry";"Main Course";"Chicken";"Indian";"Sautéing";"15 minutes";"30 minutes";"Heat oil in a large pan over medium heat. Add finely chopped onions and sauté until golden brown. Stir in minced garlic, ginger, and spices (turmeric, cumin, coriander). Add chicken pieces and cook until browned on all sides. Pour in coconut milk and canned tomatoes. Simmer for 25-30 minutes until the chicken is fully cooked. Stir occasionally and adjust seasoning. Serve with steamed rice and naan bread."
"Caesar Salad";"Appetizer";"Lettuce";"Western";"Tossing";"10 minutes";"0 minutes";"In a large bowl, toss chopped romaine lettuce with Caesar dressing. Add croutons and freshly grated Parmesan cheese. For extra protein, top with grilled chicken breast slices. Toss until well combined. Serve immediately with lemon wedges on the side."
"Chocolate Cake";"Dessert";"Chocolate";"Western";"Baking";"20 minutes";"35 minutes";"Preheat oven to 180°C (350°F). In a large bowl, whisk together flour, sugar, cocoa powder, baking powder, and salt. In another bowl, mix eggs, melted butter, and vanilla extract. Combine the wet and dry ingredients, and stir in milk until smooth. Pour batter into a greased baking pan and bake for 35-40 minutes, or until a toothpick inserted comes out clean. Let cool before serving."
"Grilled Salmon";"Main Course";"Salmon";"Western";"Grilling";"5 minutes";"10 minutes";"Preheat grill to high heat. Rub salmon fillets with olive oil, salt, and pepper. Place salmon on the grill, skin-side down, and cook for 5-6 minutes per side. Baste with lemon juice and herbs while grilling. Remove from the grill when the flesh is flaky. Serve with grilled vegetables or a fresh green salad."
"Fried Rice";"Main Course";"Rice";"Chinese";"Frying";"15 minutes";"20 minutes";"Heat oil in a large wok over high heat. Add chopped garlic, onions, and vegetables (carrots, peas, bell peppers). Stir-fry for 3-4 minutes. Push the vegetables to one side and scramble an egg on the other side of the wok. Stir in cooked rice, soy sauce, and a pinch of salt. Fry for another 5-6 minutes until everything is well combined and heated through. Garnish with green onions before serving."
"Beef Stew";"Main Course";"Beef";"French";"Simmering";"30 minutes";"50 minutes";"In a large pot, heat oil over medium heat. Add beef chunks and brown on all sides. Remove beef and set aside. In the same pot, sauté chopped onions, garlic, and carrots for 5 minutes. Return the beef to the pot and add beef broth, red wine, and bay leaves. Bring to a boil, then reduce heat and simmer for 1.5-2 hours, stirring occasionally. Season with salt, pepper, and fresh thyme. Serve with mashed potatoes or crusty bread."
"Pancakes";"Snack";"Eggs";"American";"Frying";"10 minutes";"15 minutes";"In a large bowl, mix flour, sugar, baking powder, and a pinch of salt. In another bowl, whisk eggs, milk, and melted butter. Combine the wet and dry ingredients, stirring until smooth. Heat a non-stick pan over medium heat and pour in a small amount of batter. Cook each pancake for 2-3 minutes per side, or until bubbles form on the surface and the edges are golden brown. Serve with syrup and fresh fruit."
"Tacos";"Main Course";"Beef";"Mexican";"Grilling";"15 minutes";"20 minutes";"Season ground beef with taco spices (cumin, chili powder, paprika). Heat oil in a pan over medium heat and cook the beef until browned. Warm corn tortillas on a dry skillet or grill. Fill each tortilla with cooked beef, fresh salsa, shredded lettuce, cheese, and guacamole. Garnish with cilantro and a squeeze of lime. Serve immediately."
"Sushi Rolls";"Appetizer";"Fish";"Japanese";"Rolling";"10 minutes";"0 minutes";"Place a sheet of nori (seaweed) on a bamboo mat. Spread a thin layer of cooked sushi rice on the nori, leaving a small border. Place thin slices of fish, cucumber, and avocado in the center. Roll tightly using the bamboo mat, then slice into bite-sized pieces with a sharp knife. Serve with soy sauce, pickled ginger, and wasabi."
